frame.time_delta,ip.proto,ip.len,tcp.srcport,tcp.dstport,tcp.flags.syn,icmp.type,icmp.seq,icmp.code
"0.000014895","6","44","53745","1169","True",,,
"0.000101370","6","40","31038","53745","False",,,
"0.000046391","6","44","53745","1070","True",,,
"0.000012589","6","44","53745","6543","True",,,
"0.000095094","6","44","53745","6346","True",,,
"0.000014302","6","44","53745","9081","True",,,
"0.000085936","6","44","53745","2909","True",,,
"0.000013319","6","44","53745","668","True",,,
"0.000119087","6","44","53745","81","True",,,
"0.000013440","6","44","53745","1034","True",,,
"0.000094052","6","44","53745","49155","True",,,
"0.000782350","6","40","64680","53745","False",,,
"0.000001217","6","40","32772","53745","False",,,
"0.000000164","6","40","11110","53745","False",,,
"0.000000174","6","40","900","53745","False",,,
"0.000000160","6","40","17","53745","False",,,
"0.000000159","6","40","6059","53745","False",,,
"0.000325830","6","40","1149","53745","False",,,
"0.000001786","6","40","8443","53745","False",,,
"0.000000192","6","40","42510","53745","False",,,
"0.000000179","6","40","880","53745","False",,,
"0.001491011","6","40","16000","53745","False",,,
"0.000000997","6","40","1095","53745","False",,,
"0.000000176","6","40","7911","53745","False",,,
"0.000000166","6","40","990","53745","False",,,
"0.000000178","6","40","7512","53745","False",,,
"0.000000164","6","40","3914","53745","False",,,
"0.000000163","6","40","50006","53745","False",,,
"0.000000164","6","40","1119","53745","False",,,
"0.000084723","6","40","222","53745","False",,,
"0.000000212","6","40","14442","53745","False",,,
"0.000000178","6","40","43","53745","False",,,
"0.000000177","6","40","1169","53745","False",,,
"0.000000160","6","40","1070","53745","False",,,
"0.000000164","6","40","6543","53745","False",,,
"0.000000163","6","40","6346","53745","False",,,
"0.000000187","6","40","9081","53745","False",,,
"0.000032887","6","40","2909","53745","False",,,
"0.000000212","6","40","668","53745","False",,,
"0.000525965","6","40","81","53745","False",,,
"0.000000464","6","40","1034","53745","False",,,
"0.003030687","6","44","53745","1187","True",,,
"0.000153007","6","44","53745","9618","True",,,
